Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
FO5192 EZE-JUJ,04/04/2023,07:25,04/04/2023,17:45,False,FO5192 EZE-JUJ /  FO5193 JUJ-AEP /  FO5150 AEP-CNQ /  FO5151 CNQ-AEP,Ezeiza International Airport,False
FO5950 EZE-FLN,04/05/2023,23:05,04/06/2023,05:20,False,FO5950 EZE-FLN /  FO5951 FLN-EZE,Ezeiza International Airport,False
GUARDIA,04/08/2023,00:01,04/08/2023,23:59,False,GUARDIA,,False
FO5162 AEP-SLA,04/09/2023,17:35,04/09/2023,23:20,False,FO5162 AEP-SLA /  FO5163 SLA-EZE,Aeroparque Internacional Jorge Newbery,False
FO5900 EZE-GIG,04/12/2023,05:05,04/12/2023,13:30,False,FO5900 EZE-GIG /  FO5901 GIG-EZE,Ezeiza International Airport,False
FO5100 AEP-IGR,04/14/2023,06:50,04/14/2023,12:00,False,FO5100 AEP-IGR /  FO5101 IGR-AEP,Aeroparque Internacional Jorge Newbery,False
FO5238 EZE-BRC,04/15/2023,06:05,04/15/2023,12:05,False,FO5238 EZE-BRC /  FO5239 BRC-AEP,Ezeiza International Airport,False
FO5192 AEP-JUJ,04/16/2023,05:10,04/16/2023,15:20,False,FO5192 AEP-JUJ /  FO5193 JUJ-AEP /  FO5018 AEP-COR /  FO5019 COR-AEP,Aeroparque Internacional Jorge Newbery,False
FO5800 EZE-GRU,04/18/2023,21:30,04/19/2023,05:20,False,FO5800 EZE-GRU /  FO5801 GRU-EZE,Ezeiza International Airport,False
FO5238 EZE-BRC,04/20/2023,04:30,04/20/2023,10:30,False,FO5238 EZE-BRC /  FO5239 BRC-AEP,Ezeiza International Airport,False
FO5106 AEP-IGR,04/21/2023,17:59,04/21/2023,23:10,False,FO5106 AEP-IGR /  FO5109 IGR-EZE,Aeroparque Internacional Jorge Newbery,False
FO5016 AEP-COR,04/23/2023,15:55,04/23/2023,23:30,False,FO5016 AEP-COR /  FO5460 COR-MDZ /  FO5461 MDZ-COR /  FO5017 COR-AEP,Aeroparque Internacional Jorge Newbery,False
FO5150 AEP-CNQ,04/27/2023,11:00,04/27/2023,20:00,False,FO5150 AEP-CNQ /  FO5151 CNQ-AEP /  FO5152 AEP-CNQ /  FO5153 CNQ-AEP,Aeroparque Internacional Jorge Newbery,False
FO5270 AEP-BRC,04/28/2023,19:35,04/29/2023,01:30,False,FO5270 AEP-BRC /  FO5275 BRC-EZE,Aeroparque Internacional Jorge Newbery,False
FO5052 AEP-MDZ,04/30/2023,09:35,04/30/2023,14:30,False,FO5052 AEP-MDZ /  FO5053 MDZ-AEP,Aeroparque Internacional Jorge Newbery,False
